Zone,Woreda,PHCU,Facility Name,Facility Type,OBJECTID_1,CSA HF Type,X,Y
West Gondar ZHD,Mirab Armacho WorHO,Abrihajira PHCU,Abrihajira Health center,Health Centers,"32,838",2,227291.9392,1490504.776
West Gondar ZHD,Mirab Armacho WorHO,Abrihajira PHCU,Mogese Health post,Health Posts,"11,083",3,454765.762,1272259.633
Central Gondar ZHD,West Dembia WorHO,Abrijiha PHCU,Mange Health Post,Health Posts,"13,565",6,303670.8512,1351221.424
West Gojjam ZHD,Debub Mecha WorHO,Abro Menor PHCU,Abiromenor Health Post,Health Posts,"9,976",3,308034.6578,1240686.642
West Gojjam ZHD,Debub Mecha WorHO,Abro Menor PHCU,Sirabtegibar Health Post,Health Posts,"9,972",3,308449.8217,1247715.042
West Gojjam ZHD,Debub Mecha WorHO,Abro Menor PHCU,Abro Menor Health Center,Health Centers,"9,975",6,308043.3886,1240686.226
Central Gondar ZHD,Gondar Zuriya WorHO,Abune Semira PHCU,Denkeze Health Post,Health Posts,"13,454",3,351304.3674,1379640.337
South Wollo ZHD,Wogidi WorHO,Abuye Gureba PHCU,Awayu Gumeyu Health Post,Health Posts,"12,650",3,457838.5376,1159481.81
South Wollo ZHD,Wogidi WorHO,Abuye Gureba PHCU,Abuye Gurba Health Post,Health Posts,"31,986",3,456328.3452,1156515.191
South Wollo ZHD,Wogidi WorHO,Abuye Gureba PHCU,Abahoch Health Post,Health Posts,"12,654",3,452175.1183,1154108.572
South Wollo ZHD,Wogidi WorHO,Abuye Gureba PHCU,Abuye Gureba Health Center,Health Centers,"31,987",2,456335.6399,1156480.407
South Wollo ZHD,Ambasel WorHO,Addis Amba PHCU,Addis Amba Health Center,Health Centers,"12,632",3,550811.6024,1201331.301
South Wollo ZHD,Ambasel WorHO,Addis Amba PHCU,Kaho Health Post,Health Posts,"11,669",3,562124.3171,1286486.847
South Wollo ZHD,Ambasel WorHO,Addis Amba PHCU,Adisamaba Health Post,Health Posts,"12,658",3,450394.7757,1166819.129
South Gondar ZHD,Libo Kemkem WorHO,Addiss Zemen PHCU,Derita health post,Health Posts,"11,212",3,369710.3284,1346618.074
South Gondar ZHD,Libo Kemkem WorHO,Addiss Zemen PHCU,Addiss Zemen Health Center,Health Centers,"31,796",2,367141.7597,1340468.504
South Gondar ZHD,Libo Kemkem WorHO,Addiss Zemen PHCU,Agella Mantogela health post,Health Posts,"11,171",3,368476.1267,1343174.639
South Gondar ZHD,Libo Kemkem WorHO,Addiss Zemen PHCU,Angot health post,Health Posts,"11,173",3,365219.5914,1335990.766
South Gondar ZHD,Libo Kemkem WorHO,Addiss Zemen PHCU,Tara Gedam health post,Health Posts,"11,174",3,363034.5501,1342610.198
Central Gondar ZHD,Tegede WorHO,Adet PHCU,Sefra Aleka,Health Posts,"13,813",3,327504.5026,1460471.027
Central Gondar ZHD,Tegede WorHO,Adet PHCU,Segalo,Health Posts,"13,812",3,321447.2104,1461893.364
West Gojjam ZHD,Yilmana Densa WorHO,Adet PHCU,Tsiwon Health Post,Health Posts,"10,307",3,329698.318,1244485.655
West Gojjam ZHD,Yilmana Densa WorHO,Adet PHCU,Ambatina Health Post,Health Posts,"10,366",3,337252.1414,1240728.747
Central Gondar ZHD,Tegede WorHO,Adet PHCU,Sarena,Health Posts,"13,800",3,312587.5219,1479803.044
West Gojjam ZHD,Yilmana Densa WorHO,Adet PHCU,Mossobo Health Post,Health Posts,"10,306",3,332812.5884,1249316.788
West Gojjam ZHD,Yilmana Densa WorHO,Adet PHCU,Kililt Health Post,Health Posts,"10,314",3,342337.0134,1243025.959
Central Gondar ZHD,Tegede WorHO,Adet PHCU,Dawchena,Health Posts,"13,815",3,321868.9719,1469287.619
Central Gondar ZHD,Tegede WorHO,Adet PHCU,Deganadir,Health Posts,"13,797",3,303953.386,1481105.401
West Gojjam ZHD,Yilmana Densa WorHO,Adet PHCU,Adet Health Center,Health Centers,"13,814",2,322292.6821,1458048.323
Central Gondar ZHD,Nebaru Chilga WorHO,Adeza PHCU,Anker Adeza Health Post,Health Posts,"13,870",3,297538.0185,1387853.248
Central Gondar ZHD,Nebaru Chilga WorHO,Adeza PHCU,Ken Weta Amanuel,Health Posts,"13,876",3,290557.93,1380360.152
North Gondar ZHD,Adi Arkay WorHO,Adiarkay PHCU,Abamar Health Post,Health Posts,"14,050",3,404543.6593,1488844.628
North Gondar ZHD,Adi Arkay WorHO,Adiarkay PHCU,Adi-Aregay Health Post,Health Posts,"14,052",3,397296.0636,1485077.762
North Gondar ZHD,Adi Arkay WorHO,Adiarkay PHCU,Meni Wenbergia Health Post,Health Posts,"14,054",3,412347.1392,1483311.459
North Gondar ZHD,Adi Arkay WorHO,Adiarkay PHCU,Adiarkay Health Center,Health Centers,"32,897",7,398390.4292,1487215.141
North Gondar ZHD,Adi Arkay WorHO,Adiarkay PHCU,Bermariam Health Post,Health Posts,"14,058",3,391920.3701,1481601.858
North Gondar ZHD,Debark Zuria WorHO,Adigagra PHCU,Adagat Health Post,Health Posts,"14,165",3,367072.3468,1455768.746
North Gondar ZHD,Debark Zuria WorHO,Adigagra PHCU,Abrham Health Post,Health Posts,"14,149",3,368073.0447,1451664.743
West Gojjam ZHD,Gonji Kollela WorHO,Adis Alem PHCU,Gonji Zuria Health Post,Health Posts,"30,918",6,355264.8039,1240429.321
West Gojjam ZHD,Gonji Kollela WorHO,Adis Alem PHCU,Korie Health Post,Health Posts,"10,119",3,350206.7235,1240862.067
West Gojjam ZHD,Gonji Kollela WorHO,Adis Alem PHCU,Kolela Kuskuam Health Post,Health Posts,"10,116",3,351896.9356,1237555.216
West Gojjam ZHD,Gonji Kollela WorHO,Adis Alem PHCU,Ades Alem Health Center,Health Centers,"30,915",2,355752.5633,1240544.296
West Gojjam ZHD,Gonji Kollela WorHO,Adis Alem PHCU,Yinach Health Post,Health Posts,"10,108",3,356287.702,1234208.918
South Gondar ZHD,Fogera,Adis Betechrstian PHCU,Adis Betechrstian Health Center,Health Centers,"11,317",2,374268.7084,1324370.817
South Gondar ZHD,Fogera,Adis Betechrstian PHCU,Wotenb Health Post,Health Posts,"11,327",3,382786.3982,1328481.982
South Gondar ZHD,Fogera,Adis Betechrstian PHCU,Rib Gebireal Health Post,Health Posts,"11,328",3,371758.876,1327672.838
Awi ZHD,Fagitalekoma,Adis Kidam PHCU,Gafera Health Post,Health Posts,"9,547",3,271338.5319,1223539.533
Awi ZHD,Fagitalekoma,Adis Kidam PHCU,Endewuha Health Post,Health Posts,"11,079",3,460361.4891,1267413.044
Awi ZHD,Fagitalekoma,Adis Kidam PHCU,Ashewa Health Post,Health Posts,"9,532",3,275872.5912,1230744.388
Awi ZHD,Fagitalekoma,Adis Kidam PHCU,Adis Kidam Health center,Health Centers,"30,664",2,268928.0421,1226153.434
South Gondar ZHD,Sedie Muja,Adiss Alem PHCU,Adiss Alem Health Center,Health Centers,"11,145",2,445655.1812,1252459.691
South Gondar ZHD,Sedie Muja,Adiss Alem PHCU,Tara Health Post,Health Posts,"11,151",3,451783.3071,1253421.126
South Gondar ZHD,Sedie Muja,Adiss Alem PHCU,Desimen Health Post,Health Posts,"11,148",3,443904.4489,1250071.797
South Gondar ZHD,Sedie Muja,Adiss Alem PHCU,Nibazila Health Post,Health Posts,"11,153",3,446702.4557,1247190.03
Awi ZHD,Dangla Zuria,Afessa PHCU,Zunga Health Post,Health Posts,"9,608",3,274601.5394,1241318.969
Awi ZHD,Dangla Zuria,Afessa PHCU,Muksi Health Post,Health Posts,"9,614",3,276495.3438,1239101.189
Awi ZHD,Dangla Zuria,Afessa PHCU,Wumbri Health Post,Health Posts,"9,616",3,280082.6173,1239213.651
Awi ZHD,Dangla Zuria,Afessa PHCU,Afessa Health Post,Health Posts,"9,611",4,278716.2012,1237327.705
Awi ZHD,Dangla Zuria,Afessa PHCU,Afessa Health Center,Health Centers,"9,613",2,278548.7693,1238187.187
North Shewa ZHD,Antsokia Gemza WorHO,Afiso PHCU,AfisoHealth Center,Health Centers,"8,724",3,584473.6551,1179077.935
North Shewa ZHD,Antsokia Gemza WorHO,Afiso PHCU,AgamsambaHealth Post,Health Posts,"8,725",3,586450.5445,1178259.929
North Shewa ZHD,Taremaber WorHO,Agamber PHCU,Wefayzorsh Health Post,Health Posts,"8,892",3,593448.9273,1087466.142
North Shewa ZHD,Taremaber WorHO,Agamber PHCU,Agamber Health Post,Health Posts,"8,910",3,598035.8125,1082523.792
North Shewa ZHD,Taremaber WorHO,Agamber PHCU,Agamber Health Center,Health Centers,"8,896",2,598214.6116,1082382.183
North Shewa ZHD,Taremaber WorHO,Agamber PHCU,Eeltokena mengest Health Post,Health Posts,"8,890",3,595506.3351,1085874.487
South Gondar ZHD,Tach Gayint WorHO,Agate PHCU,Mega Health Post,Health Posts,"11,071",3,446160.1326,1283686.466
South Gondar ZHD,Tach Gayint WorHO,Agate PHCU,Fenta Health Post,Health Posts,"11,086",3,445214.0545,1279847.888
South Gondar ZHD,Tach Gayint WorHO,Agate PHCU,Gomengie Health Post,Health Posts,"11,067",3,438975.4885,1288493.011
South Gondar ZHD,Tach Gayint WorHO,Agate PHCU,Agate Health Post,Health Posts,"11,072",3,441548.8934,1282862.002
Awi ZHD,Ankasha Guagusa,Agew Gimjabet PHCU,Hateta Health Post,Health Posts,"9,300",3,269982.7567,1202935.042
Awi ZHD,Ankasha Guagusa,Agew Gimjabet PHCU,Tirba Health Post,Health Posts,"9,301",3,263510.879,1196313.419
Awi ZHD,Ankasha Guagusa,Agew Gimjabet PHCU,3 Tu Gimjabet Health Post,Health Posts,"9,303",3,269523.0206,1199435.708
Awi ZHD,Ankasha Guagusa,Agew Gimjabet PHCU,Gewena Health Post,Health Posts,"9,299",3,265101.7893,1201094.468
South Gondar ZHD,Mena meketewa,Agissa PHCU,Adiya Health Post,Health Posts,"11,159",6,423189.6035,1327253.662
South Gondar ZHD,Mena meketewa,Agissa PHCU,Gibtsawit Health Post,Health Posts,"11,162",3,428671.743,1336317.318
South Gondar ZHD,Mena meketewa,Agissa PHCU,Addsigie Health Post,Health Posts,"11,164",3,418685.0011,1340865.543
South Gondar ZHD,Mena meketewa,Agissa PHCU,Debrtekleyiamot Health Post,Health Posts,"11,163",3,431387.5551,1342609.357
South Gondar ZHD,Mena meketewa,Agissa PHCU,Qurquara Health Post,Health Posts,"11,572",3,417687.2266,1347938.767
West Gojjam ZHD,Yilmana Densa WorHO,Agita PHCU,Abika Health Post,Health Posts,"10,312",3,341500.8139,1249016.969
West Gojjam ZHD,Yilmana Densa WorHO,Agita PHCU,Angar Health Post,Health Posts,"10,316",3,348670.5834,1258893.431
West Gojjam ZHD,Yilmana Densa WorHO,Agita PHCU,Agita Health Center,Health Centers,"31,006",2,344222.7448,1253881.671
West Gojjam ZHD,Yilmana Densa WorHO,Agita PHCU,Amsalo Health Post,Health Posts,"10,317",3,345503.5835,1259767.509
West Gojjam ZHD,Yilmana Densa WorHO,Agita PHCU,Agita Health Post,Health Posts,"31,004",3,344125.5535,1253835.327
South Gondar ZHD,Estie WorHO,Agona PHCU,Dat Health Post,Health Posts,"11,475",3,413363.7964,1288071.417
South Gondar ZHD,Estie WorHO,Agona PHCU,Agona Health Center,Health Centers,"11,477",2,415479.8156,1283754.344
South Gondar ZHD,Estie WorHO,Agona PHCU,Angachat Health Post,Health Posts,"11,474",3,412045.3127,1283545.601
South Gondar ZHD,Estie WorHO,Agona PHCU,Agona Health Post,Health Posts,"11,479",3,417484.18,1282562.319
North Wollo ZHD,Mekete WorHO,Agrit PHCU,Tsebelat Health Post,Health Posts,"13,156",3,462250.4677,1304768.234
North Wollo ZHD,Mekete WorHO,Agrit PHCU,Agrit Health Center,Health Centers,"13,159",2,464277.0511,1306069.529
North Wollo ZHD,Mekete WorHO,Agrit PHCU,Ti wuha Health Post,Health Posts,"13,155",3,470161.3478,1307654.405
North Wollo ZHD,Mekete WorHO,Agrit PHCU,Agrit Health Post,Health Posts,"13,159",2,464277.0511,1306069.529
North Wollo ZHD,Mekete WorHO,Agrit PHCU,Ansa Wuha Health Post,Health Posts,"13,185",3,460497.5269,1298338.384
West Gojjam ZHD,Jabi Tehnan WorHO,Agummamit PHCU,Agummamit Health Post,Health Posts,"10,141",6,296520.2225,1179659.858
West Gojjam ZHD,Jabi Tehnan WorHO,Agummamit PHCU,Guay Health Post,Health Posts,"10,205",3,296496.9942,1175394.792
West Gojjam ZHD,Jabi Tehnan WorHO,Agummamit PHCU,Zaba Health Post,Health Posts,"10,140",3,296917.4866,1184551.921
West Gojjam ZHD,Sekela WorHO,Agut PHCU,Gafti Gunkan Health Post,Health Posts,"9,770",3,302220.9077,1201117.465
West Gojjam ZHD,Sekela WorHO,Agut PHCU,Agut Health Center,Health Centers,"30,788",2,299293.0164,1199322.497
West Gojjam ZHD,Sekela WorHO,Agut PHCU,Lielima Health Post,Health Posts,"9,760",3,300589.1778,1196593.732
South Wollo ZHD,Mehal Saint WorHO,Aheye PHCU,Aheye Health Center,Health Centers,"12,418",2,454607.6578,1208055.28
Awi ZHD,Zigem,Ahtiy PHCU,Jomera Health Post,Health Posts,"30,640",3,240538.7523,1186597.924
Awi ZHD,Zigem,Ahtiy PHCU,Akako areja Health Post,Health Posts,"9,511",3,231422.9256,1177327.598
Awi ZHD,Zigem,Ahtiy PHCU,Nanachibala Health Post,Health Posts,"9,512",3,232830.7895,1188920.464
North Wollo ZHD,Angot WorHO,Ahuntegegn PHCU,Ahuntegegn Health Center,Health Centers,"32,239",2,532379.6732,1312229.077
North Wollo ZHD,Angot WorHO,Ahuntegegn PHCU,Koso Amba Health Post,Health Posts,"12,849",3,529594.9924,1309913.319
North Wollo ZHD,Angot WorHO,Ahuntegegn PHCU,Nefasit dega Health Post,Health Posts,"12,851",3,530462.5392,1317520.591
North Wollo ZHD,Angot WorHO,Ahuntegegn PHCU,Ahuntegegn Health Post,Health Posts,"32,238",3,532073.8462,1312180.285
North Wollo ZHD,Angot WorHO,Ahuntegegn PHCU,Tesfa georgis Health Post,Health Posts,"12,850",6,526525.6432,1307552.992
South Wollo ZHD,Jama WorHO,Ahyafejjie PHCU,Goba Health Post,Health Posts,"11,850",3,529693.5416,1136220.349
South Wollo ZHD,Jama WorHO,Ahyafejjie PHCU,Ahyafejjie Health Center,Health Centers,"11,849",2,528843.5075,1132828.829
South Wollo ZHD,Jama WorHO,Ahyafejjie PHCU,Kebena Health Post,Health Posts,"11,851",3,526422.2258,1130522.369
South Wollo ZHD,Tenta WorHO,Ajibar Kologenet PHCU,Ambamariam Health Post,Health Posts,"31,927",2,524642.0599,1239146.719
South Wollo ZHD,Tenta WorHO,Ajibar Kologenet PHCU,Kolitamba Health Post,Health Posts,"12,595",3,522178.0922,1247536.498
South Wollo ZHD,Tenta WorHO,Ajibar Kologenet PHCU,Ajibar Kologenet Health Center,Health Centers,"31,931",2,526787.5916,1242288.505
South Wollo ZHD,Tenta WorHO,Ajibar Kologenet PHCU,Abbamela Health Post,Health Posts,"12,597",6,531200.2093,1242951.831
South Wollo ZHD,Tenta WorHO,Ajibar Kologenet PHCU,Songola Health Post,Health Posts,"12,599",3,527562.3831,1238094.208
South Wollo ZHD,Sayint WorHO,Ajibar PHCU,Duat Health Post,Health Posts,"12,489",3,472819.7862,1221252.017
South Wollo ZHD,Sayint WorHO,Ajibar PHCU,Ashenga Health Post,Health Posts,"12,487",3,477629.382,1218138.439
South Wollo ZHD,Sayint WorHO,Ajibar PHCU,Ajibar Health Center,Health Centers,"31,934",3,526442.4657,1242073.54
North Gondar ZHD,Dabat WorHO,Ajire PHCU,Arade Health Post,Health Posts,"14,117",3,345280.4371,1454230.781
North Gondar ZHD,Dabat WorHO,Ajire PHCU,Guchereb Health Post,Health Posts,"14,122",3,357396.0035,1449031.229
North Gondar ZHD,Dabat WorHO,Ajire PHCU,Ajire Health Center,Health Centers,"14,119",2,350251.5213,1454292.462
North Gondar ZHD,Dabat WorHO,Ajire PHCU,Aditewulgn Health Post,Health Posts,"14,118",3,343506.179,1463601.266
South Gondar ZHD,Mena meketewa,Ajja PHCU,Ajja Health Center,Health Centers,"11,169",2,414234.955,1327742.309
South Gondar ZHD,Mena meketewa,Ajja PHCU,Geday Health Post,Health Posts,"11,168",3,414746.9166,1324441.65
South Gondar ZHD,Mena meketewa,Ajja PHCU,Ajja Health Post,Health Posts,"11,170",6,414913.5446,1327809.183
North Shewa ZHD,Berehet WorHO,Akermit PHCU,Akermit Health Post,Health Posts,"8,934",3,553313.512,1007118.556
North Shewa ZHD,Berehet WorHO,Akermit PHCU,Mintamir Health Post,Health Posts,"8,799",3,561202.5914,1009035.944
North Shewa ZHD,Berehet WorHO,Akermit PHCU,Akermit Health Center,Health Centers,"8,796",2,564842.4117,1012172.524
South Wollo ZHD,Legambo WorHO,Akesita PHCU,Akesita Health Center,Health Centers,"31,809",6,519293.8706,1201540.234
South Wollo ZHD,Legambo WorHO,Akesita PHCU,Yichaya Health Post,Health Posts,"12,369",3,517231.082,1205126.024
South Wollo ZHD,Legambo WorHO,Akesita PHCU,Kindo Health Post,Health Posts,"12,368",3,523547.2264,1202450.614
South Wollo ZHD,Legambo WorHO,Akesita PHCU,TachiAksta Health Post,Health Posts,"31,810",3,518898.6051,1200712.502
South Wollo ZHD,Legambo WorHO,Akesita PHCU,Golehito Health Post,Health Posts,"12,378",3,510544.6889,1202516.351
South Gondar ZHD,Tach Gayint WorHO,Aketo PHCU,Eskindirawit Health Post,Health Posts,"11,087",3,453441.6682,1291148.021
South Gondar ZHD,Tach Gayint WorHO,Aketo PHCU,Arata Health Post,Health Posts,"8,925",3,578694.6041,1167082.246
South Gondar ZHD,Tach Gayint WorHO,Aketo PHCU,Aketo Health Post,Health Posts,"11,059",2,453750.1515,1288143.951
West Gojjam ZHD,Gonji Kollela WorHO,Akilie PHCU,Akile Health Post,Health Posts,"10,110",3,350687.3122,1226466.596
West Gojjam ZHD,Gonji Kollela WorHO,Akilie PHCU,Akilie Health Center,Health Centers,"10,086",2,350571.6658,1226419.206
West Gojjam ZHD,Gonji Kollela WorHO,Akilie PHCU,Ardesa Health Post,Health Posts,"10,109",3,355339.1198,1228860.523
West Gojjam ZHD,Gonji Kollela WorHO,Akilie PHCU,Debay Health Post,Health Posts,"10,085",3,350724.9053,1228821.148
North Shewa ZHD,Efratana Gidim WorHO,Alala PHCU,Alala Health Center,Health Centers,"8,822",2,599231.683,1133981.801
North Shewa ZHD,Efratana Gidim WorHO,Alala PHCU,Yemlo Health Post,Health Posts,"9,215",3,502753.7578,1091754.868
North Shewa ZHD,Efratana Gidim WorHO,Alala PHCU,Deretema Health Post,Health Posts,"8,818",3,594395.5549,1130004.646
North Shewa ZHD,Efratana Gidim WorHO,Alala PHCU,Berkitue Health Post,Health Posts,"8,819",3,598374.8794,1130825.965
West Gojjam ZHD,Bure Zuria WorHO,Alefa PHCU,Zalma Health Post,Health Posts,"9,819",3,284267.0843,1167826.148
West Gojjam ZHD,Bure Zuria WorHO,Alefa PHCU,Adel Ageta Health Post,Health Posts,"9,803",3,290631.0634,1177608.415
North Shewa ZHD,Merhabete WorHO,Alem Ketema PHCU,Alem Ketema Health Center,Health Centers,"29,998",2,498524.1758,1112077.33
North Shewa ZHD,Merhabete WorHO,Alem Ketema PHCU,Worego Health Post,Health Posts,"9,084",3,491515.7655,1112650.412
North Shewa ZHD,Merhabete WorHO,Alem Ketema PHCU,Agerit Health Post,Health Posts,"9,145",2,550515.08,983722.1126
South Gondar ZHD,Fogera,Alember PHCU,Alember Town Health Post,Health Posts,"31,778",3,378235.2409,1317000.485
South Gondar ZHD,Fogera,Alember PHCU,Zeng Health Post,Health Posts,"11,322",3,381718.001,1323560.372
South Gondar ZHD,Fogera,Alember PHCU,Alember Health Center,Health Centers,"31,771",2,379347.2338,1317166.701
South Gondar ZHD,Fogera,Alember PHCU,Chalima Health Post,Health Posts,"11,309",3,374427.6677,1312800.912
South Gondar ZHD,Fogera,Alember PHCU,Zabirone Health Post,Health Posts,"11,324",3,380626.7433,1325255.225
South Gondar ZHD,Fogera,Alember PHCU,Mintura Health Post,Health Posts,"11,308",3,380487.3686,1312949.843
Central Gondar ZHD,Takusa WorHO,Alisefer PHCU,Alisefer Health Center,Health Centers,"13,776",4,244368.199,1344733.551
Central Gondar ZHD,Takusa WorHO,Alisefer PHCU,Konta Health Post,Health Posts,"13,779",3,233147.3524,1341759.009
North Shewa ZHD,Ankober WorHO,Alyuameba PHCU,Alyuamba zuria Health Post,Health Posts,"8,678",3,586443.0844,1057107.17
North Shewa ZHD,Ankober WorHO,Alyuameba PHCU,Alyuameba Health Center,Health Centers,"8,679",2,586472.9016,1057021.557
North Shewa ZHD,Ankober WorHO,Alyuameba PHCU,Zego Health Post,Health Posts,"8,677",3,586882.0274,1063326.907
North Shewa ZHD,Ankober WorHO,Alyuameba PHCU,Agerselam Health Post,Health Posts,"8,681",3,590722.3685,1064679.504
East Gojjam ZHD,Machakel WorHO,Amanuel PHCU,Amanuel Health Center,Health Centers,"31,267",4,360967.0774,1142616.543
East Gojjam ZHD,Machakel WorHO,Amanuel PHCU,Amanuel Zuria Health Post,Health Posts,"31,516",3,343644.6937,1155804.82
East Gojjam ZHD,Machakel WorHO,Amanuel PHCU,Kerer Health Post,Health Posts,"10,965",3,338860.5047,1145341.906
West Gojjam ZHD,Semen Mecha WorHO,Amarit PHCU,Ediget Behibret Health Post,Health Posts,"9,947",3,288944.9895,1272025.836
West Gojjam ZHD,Semen Mecha WorHO,Amarit PHCU,Amarit Health Center,Health Centers,"9,955",2,293099.3669,1269772.512
East Gojjam ZHD,Goncha WorHO,Amba Mariyam PHCU,Yekuraarasma 1 Health Post,Health Posts,"10,545",3,396630.1399,1216314.489
East Gojjam ZHD,Goncha WorHO,Amba Mariyam PHCU,Eneget Health Post,Health Posts,"10,805",3,387661.8945,1122694.591
East Gojjam ZHD,Goncha WorHO,Amba Mariyam PHCU,Derit Health Post,Health Posts,"10,567",3,403831.0978,1224380.912
South Wollo ZHD,Sayint WorHO,Ambaferet PHCU,Ambaferit Health Post,Health Posts,"12,514",3,488398.9158,1216513.281
South Wollo ZHD,Sayint WorHO,Ambaferet PHCU,Gulmeda Health Post,Health Posts,"12,523",5,484144.2276,1220648
South Wollo ZHD,Sayint WorHO,Ambaferet PHCU,Gedeba Health Post,Health Posts,"13,064",3,557631.4208,1343345.248
