Health Facility name,Facility Type,Ownership,ID,level,Region,Zone,Woreda,PHCU
Wunbiri Wundigi Health Post,Health Posts,Public,C4ykN51vnwq,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Wunbiri Wundigi PHCU
Yeaysis Primary Clinic,Clinics,Private,WkJ6VGGBzI1,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Zemeda Mariam Primary Clinic,Clinics,Private,zwQ6dCKrmOv,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
zemen Primary Clinic,Clinics,Private,Zgept3tdEys,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Amanuel  Primary Clinic,Clinics,Private,lGmwRx5Ixlg,5,Amhara Regional Health Bureau,Awi ZHD,Banja,
Berihun Medium Clinic,Clinics,Private,7qAEgeJhw3m,5,Amhara Regional Health Bureau,Awi ZHD,Banja,
Dangia Health Center,Health Centers,Public,XrnmEyfrA7K,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Dangia PHCU
Akena Health Post,Health Posts,Public,jQLrEnXuesx,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Dangia PHCU
Asem Health Post,Health Posts,Public,GE9y2f7YHw3,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Dangia PHCU
Dangia Kidanemihiret Health Post,Health Posts,Public,AWxKKac1Zxp,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Dangia PHCU
Janguta Health Post,Health Posts,Public,AmqLhS65CBJ,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Dangia PHCU
Quachquach Health Post,Health Posts,Public,DRJrMPPuDrq,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Dangia PHCU
Dinkara Health Center,Health Centers,Public,mNmAU2pJ7SP,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Dinkara PHCU
Bari Health Post,Health Posts,Public,ZU2VuAtYMf7,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Dinkara PHCU
Senkesa Health Post,Health Posts,Public,XdwrsYInUsb,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Dinkara PHCU
Zik Health Post,Health Posts,Public,XbYwIf3fb6I,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Dinkara PHCU
Kessa Health Center,Health Centers,Public,kcFaT3nm0Uq,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Kessa PHCU
Chaity Health Post,Health Posts,Public,x3nSH25dGwR,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Kessa PHCU
Chewsa Health Post,Health Posts,Public,zuWS7JF2vwq,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Kessa PHCU
Wusla Health Post,Health Posts,Public,gwOGp2cIXUO,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Kessa PHCU
Kidamaja Health Center,Health Centers,Public,cBJOxdNAqaG,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Kidamaja PHCU
Askuna Health Post,Health Posts,Public,DnQ6kCo3aTn,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Kidamaja PHCU
Zufari Health Post,Health Posts,Public,SVM4L51Q27l,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Kidamaja PHCU
Kidusan  Primary Clinic,Clinics,Private,bcaFGxs7nS3,5,Amhara Regional Health Bureau,Awi ZHD,Banja,
Lideta Health Center,Health Centers,Public,RCHjryiDSyk,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Lideta PHCU
Asera Health Post,Health Posts,Public,PZsm9dIAjQx,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Lideta PHCU
Gembeha Health Post,Health Posts,Public,SYOkCERBvrV,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Lideta PHCU
Lideta Health Post,Health Posts,Public,UD1iQDsDNRm,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Lideta PHCU
Shibabaw Primary Clinic,Clinics,Private,AKJdzdKZB04,5,Amhara Regional Health Bureau,Awi ZHD,Banja,
Surta Health Center,Health Centers,Public,PPblQxV3z6b,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Surta PHCU
Ateta Health Post,Health Posts,Public,vllUNMgU7Cz,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Surta PHCU
Gagasta Health Post,Health Posts,Public,pA1HEiToxTL,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Surta PHCU
Gurja Health Post,Health Posts,Public,wiUZPnWueoE,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Surta PHCU
Surta Health Post,Health Posts,Public,FHuhH9sk6Tj,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Surta PHCU
Chagni Primary Hospital,Hospitals,Public,f6eIWKGQg5p,4,Amhara Regional Health Bureau,Awi ZHD,Chagni Primary Hospital,
Agumas Medium Clinic,Clinics,Private,I0mT91oZj4e,5,Amhara Regional Health Bureau,Awi ZHD,Chagni Town,
Chagni DIC ,Clinics,Private,nU3V3UX9FEV,5,Amhara Regional Health Bureau,Awi ZHD,Chagni Town,
Chagni Health Center,Health Centers,Public,NOMDPysllTb,6,Amhara Regional Health Bureau,Awi ZHD,Chagni Town,Chagni PHCU
Lunce Health Post,Health Posts,Public,oJv2NQeEKOw,6,Amhara Regional Health Bureau,Awi ZHD,Chagni Town,Chagni PHCU
Docter Seid Medium Clinic,Clinics,Private,kovdxcqnmwD,5,Amhara Regional Health Bureau,Awi ZHD,Chagni Town,
Doctor Esa Medium Clinic,Clinics,Private,ABTZ4J1LzdX,5,Amhara Regional Health Bureau,Awi ZHD,Chagni Town,
Doctor Mulugeta Specialty Clinic,Clinics,Private,kA52fu8RKPf,5,Amhara Regional Health Bureau,Awi ZHD,Chagni Town,
Hayat Specialty Clinic,Clinics,Private,HTZg2WaKm4Y,5,Amhara Regional Health Bureau,Awi ZHD,Chagni Town,
Mistir Medium Clinic,Clinics,Private,PJzjf42mzbS,5,Amhara Regional Health Bureau,Awi ZHD,Chagni Town,
Mohamed Medium Clinic,Clinics,Private,RDo2PVdSxyf,5,Amhara Regional Health Bureau,Awi ZHD,Chagni Town,
Tilahun Medium Clinic,Clinics,Private,NfKrSEb23mj,5,Amhara Regional Health Bureau,Awi ZHD,Chagni Town,
Dangla Primary Hospital,Hospitals,Public,LaJzDSyISmN,4,Amhara Regional Health Bureau,Awi ZHD,Dangla Primary Hospital,
Dangila Health center,Health Centers,Public,B8NNHwC8X9X,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,Dangila PHCU
Bacha Health Post,Health Posts,Public,JxiERqJF3Qi,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,Dangila PHCU
Girargie Health Post,Health Posts,Public,PAAJOkcNEt0,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,Dangila PHCU
Zelesa Health Post,Health Posts,Public,rDFzX2JbO81,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,Dangila PHCU
Ziguda Health Post,Health Posts,Public,dJfJQWB60gU,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,Dangila PHCU
Zubra Health Post,Health Posts,Public,pghKbPx6szz,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,Dangila PHCU
Dibandadi Medium Clinic,Clinics,Private,OGMcBoaYBS6,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,
Dr Amare Medium clinic,Clinics,Private,IWddeep29yF,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,
Dr endris Medium Clinic,Clinics,Private,xZM7gFHYbsA,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,
Nurhusen Medium Clinic,Clinics,Private,ncyJR7aY17X,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,
Prison Clinic,Clinics,Private,Xt0FKmJxD9q,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,
Tadese Medium clinic,Clinics,Private,AuwznRphkZL,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,
Yalew Medium Clinic,Clinics,Private,rvuWiRHLLOE,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,
Abadra Health Center,Health Centers,Public,HXUXakaUSxE,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Abadra PHCU
Abadra Health Post,Health Posts,Public,LQcwhByn5jh,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Abadra PHCU
Agaga Health Post,Health Posts,Public,h2zSP0raYyp,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Abadra PHCU
Manguda Health Post,Health Posts,Public,VEOxDA5dktc,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Abadra PHCU
Wondefay Health Post,Health Posts,Public,Eyav1OgRK0X,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Abadra PHCU
Wufta Dati Health Post,Health Posts,Public,nWNWQvwpYbX,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Abadra PHCU
Abraham Primary Clinic,Clinics,Private,Vu9G43qAThT,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
Afessa Health Center,Health Centers,Public,PXUwpZAGZbR,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Afessa PHCU
Afessa Health Post,Health Posts,Public,I0kutcx3KD6,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Afessa PHCU
Ligaba Health Post,Health Posts,Public,DBhRlRbtKjo,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Afessa PHCU
Muksi Health Post,Health Posts,Public,BOafzyecaEn,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Afessa PHCU
Wumbri Health Post,Health Posts,Public,E65sAzY4hry,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Afessa PHCU
Zunga Health Post,Health Posts,Public,agm7Ei9uBwD,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Afessa PHCU
Agegnehu Primary Clinic,Clinics,Private,QAA8AijQLen,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
Agumasie Primary Clinic,Clinics,Private,lhslxNwAevD,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
Alganesh Primary Clinic,Clinics,Private,wYCVkn2e23U,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
Awoke Primary Clninc,Clinics,Private,dZJrWkdwZuy,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
Chara Health Center,Health Centers,Public,oKXsYduXIJS,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Chara PHCU
Badani Health Post,Health Posts,Public,ABL3nBvDekU,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Chara PHCU
Dubi Health Post,Health Posts,Public,IVWoRQMxIqy,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Chara PHCU
Jibana Health Post,Health Posts,Public,vLTEHeBiOPh,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Chara PHCU
Kuancha Kuakurita Health Post,Health Posts,Public,gTjfbLHOQuW,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Chara PHCU
Maylibach Health Post,Health Posts,Public,bZQ4dcsMynj,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Chara PHCU
Degsew primary Clinic,Clinics,Private,U8soZr5TNkz,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
Gashaw Medium Clinc,Clinics,Private,c8LBfBabXAW,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
Gezahegn primary clinic,Clinics,Private,YNNTyvNIakZ,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
Gissa Health Center,Health Centers,Public,Gm7UV6x1xq0,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gissa PHCU
Debaka Singury Health Post,Health Posts,Public,cZEjRvUlOgl,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gissa PHCU
Gissa Balegziabeher Health Post,Health Posts,Public,jSHErY8rTF3,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gissa PHCU
Zurzur Health Post,Health Posts,Public,jez2N7zl9Ad,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gissa PHCU
Gizat  Bante Primary Clinic,Clinics,Private,YhgNWpbipKY,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
Gumdri Health Center,Health Centers,Public,G9q3Poa1Mdw,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gumdri PHCU
Demsa Timim Health Post,Health Posts,Public,Gs568XLxgn9,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gumdri PHCU
Dengeshita Warkit Health Post,Health Posts,Public,CU4HUe6lIBx,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gumdri PHCU
Gayta Health Post,Health Posts,Public,MwOhegSdLtI,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gumdri PHCU
Gult Abishikan Health Post,Health Posts,Public,Iz6lh1X6mYL,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gumdri PHCU
Gumdri Health Post,Health Posts,Public,XDtQyQdpOgg,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gumdri PHCU
Kuandisha Health Post,Health Posts,Public,Q2Z6NG5OSiF,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gumdri PHCU
Misrak Zelesa Health Post,Health Posts,Public,RBj4cx4DI4P,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gumdri PHCU
Washa Kabilta Health Post,Health Posts,Public,xb1bPRIxjaY,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gumdri PHCU
Kachana Gudi Health Center,Health Centers,Public,vcu6rERZsBA,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Kachana Gudi PHCU
Alefa Kacha Health Post,Health Posts,Public,YBiEqmxNVZu,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Kachana Gudi PHCU
Gissa Mariam Health Post,Health Posts,Public,I4Fw7TQBoJD,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Kachana Gudi PHCU
Kansen Health Post,Health Posts,Public,ODI7WOtDR7O,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Kachana Gudi PHCU
Melikamu Primary Clinic,Clinics,Private,jIgRZ3KLtrb,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
Mengistu Primary Clinic,Clinics,Private,NMaUueYsBDT,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
Samuel Primary Clinic,Clinics,Private,Oi2lT8wqpS4,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
Tilahun Demke Primary Clinic,Clinics,Private,O4rhIoaCfmZ,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
Tilahun primary clinic,Clinics,Private,Xw9q4hQgfff,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
Wasie primary Clinic,Clinics,Private,t91Dh8qXhjO,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
Worku Primary Clinic,Clinics,Private,CUvtMnxoPdM,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
Yekita Medium Clinic,Clinics,Private,jEs7GQ4TcQE,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
