ZHD,Woreda/ZHD/RHB,periodname,Denom - Estimated number of 0-2 months with sepsis/VSD,Denom - Estimated number of 12 - 24 months children,Denom - Estimated number of <15 year children 1,Denom - Estimated number of <5 year children,Denom - Estimated number of HIV positive pregnant women,Denom - Estimated number of Leprosy cases,Denom - Estimated number of Non-pregnant women aged 15-49 year,Denom - Estimated number of STI cases,Denom - Estimated number of adult population living with HIV ,Denom - Estimated number of adults  in the catchment area,Denom - Estimated number of adults age 15-24 within the catchment area,Denom - Estimated number of adults age 15-59 within the catchment area,Denom - Estimated number of all forms of TB cases in the population,Denom - Estimated number of child population living with HIV ,Denom - Estimated number of children  aged 24 - 59 months ,Denom - Estimated number of children aged 6-59 months,Denom - Estimated number of diabetic cases,Denom - Estimated number of girls (14 years old),Denom - Estimated number of girls (9 years old),Denom - Estimated number of hypertensive cases,Denom - Estimated number of live birth,Denom - Estimated number of neonates with birth asphyxia case,Denom - Estimated number of networked in 1 to 5 ,Denom - Estimated number of patients with CVD risk  ≥ 30%,Denom - Estimated number of people living with HIV ,Denom - Estimated number of people tested for HCT,Denom - Estimated number of pregnant women,Denom - Estimated number of surviving infants,Denom - Estimated number of under 2 yrs children,Denom - Estimated number of under 5 children with diarrhea cases,Denom - Estimated number of under 5 children with pneumonia,Denom - Estimated number of women age 30-49 within the catchment area,Denom - Expected number of deliveries,Denom - Total catchment population - female,Denom - Total catchment population - male,Denom - Total number of HHs in the catchment,Denom - Total number of Oncocerciasis MDA eligible population ,Denom - Total number of Rural HHs,Denom - Total number of Schistosomiasis MDA eligible population,Denom - Total number of Urban HHs,Denom - Total number of Urban kebele,Denom - Total number of catchment population,Denom - Total number of kebele,Denom - Total number of lymphatic filariasis MDA eligible population ,Denom - Total number of rural kebele,Denom - Total number of trachoma MDA eligible population 
North Gondar ZHD,Adi Arkay WorHO,Ham 2010 to Sen 2011,303.6,2299.7,50533.2,16050.2,36,7.1,23980.4,2275.9,,68001,24530.5,60957.5,194.4,,10064,15267.8,,1458,,,3923.6,39.1,,,,,3994.8,3686.6,5986.2,16050.2,4333.5,13532.4,3994.8,60455,58084,27567.2,102488.8,23156.5,34376.3,4410.8,3.7,118539,27.4,101943.5,23.7,118539
North Gondar ZHD,Adi Arkay WorHO,Ham 2011 to Sen 2012,308,3691,51344,16311,36.5,7,24363,2312,,69085,24922,61930,198,,10230,15511,,1481,,,4058,39.8,,,,,4058,3745.4,6081,16311,4404,13749,4058,61419,59011,28007,104123.8,23156.5,34924.7,4410.8,3.7,120430,27.4,101943.5,23.7,120430
North Gondar ZHD,Adi Arkay WorHO,Ham 2012 to Sen 2013,313,2365.9,52101.4,16551.6,37.1,3.9,24722.2,2346.4,,,25289.3,62843.2,184.5,,10380.9,15740.1,3910.6,1508,,11216.7,4118.3,5.8,28419.9,,,,4118.3,3805.5,6170.7,16551.5,4468.9,23463.5,4118.3,,,28419.9,105659.1,23872.8,35439.7,4547.2,3.7,122205.8,27.4,105659.1,23.7,122205.8
North Gondar ZHD,Adi Arkay WorHO,Ham 2013 to Sen 2014,317.7,2406.8,52886.8,16802.7,30.5,4,25097.3,2382,1044.6,71324.1,26349.2,65837.2,173.7,75.6,10538.4,15978.9,2425,1525.9,,11126.6,4180.8,173.7,28419.9,,,,4180.8,3863.2,6265,16802.7,4536.7,13646.6,4180.8,61062.6,62997.4,28851.2,0,22794.1,35977.4,6057,3,124060,22,0,19,124060
North Gondar ZHD,Adi Arkay WorHO,Ham 2014 to Sen 2015,322.5,2417.4,53679.8,17053,34.4,3.8,25471.2,2417.4,,75889.6,25289.3,68126,163.7,,10695.4,16216.9,75889.6,1548.7,8561.7,75889.6,4243.1,424.3,28419.9,,,,4243.1,3920.6,6358.3,17249.4,4657.3,13849.9,4243.1,26433.1,62746.2,29280.9,0,23133.7,198,6147.2,3,125907.8,22,0,19,682.8
South Wollo ZHD,Albuko WorHO,Ham 2010 to Sen 2011,235.5,1783.6,39192.3,12448.1,27.9,5.5,18598.7,1765.2,,52740,19025.2,47277.2,150.8,,7805.4,11841.4,,1130.8,,,3043.1,30.4,,,,,3098.2,2859.2,4642.8,12448.1,3361,10495.4,3098.2,46887,45049,21380.5,79487.9,17959.6,26661.4,3420.9,3.7,91936,22.4,79065,18.7,91936
South Wollo ZHD,Albuko WorHO,Ham 2011 to Sen 2012,239,2863,39821,12650,28.3,6,18895,1793,,53581,19329,48031,153,,7934,12030,,1149,,,3148,30.8,,,,,3148,2904.8,4716,12650,3416,10663,3148,47635,45767,21721,80755.4,17959.6,27086.6,3420.9,3.7,93402,22.4,79065,18.7,93402
South Wollo ZHD,Albuko WorHO,Ham 2012 to Sen 2013,236,1783.6,39278.7,12478.1,27.9,2.9,18637.8,1768.9,,,19065.3,47376.8,139.1,,7826.1,11866.3,2948.1,1136.9,,8456.1,3104.8,4.3,21425.5,,,,3104.8,2868.9,4652,12478,3369.1,17688.9,3104.8,,,21425.5,79655.1,17997.4,26717.5,3428.1,3.7,92129.5,22.4,79655.1,18.7,92129.5
South Wollo ZHD,Albuko WorHO,Ham 2013 to Sen 2014,238.3,1804.7,39657.3,12599.5,22.9,3,18819.3,1786.1,783.3,56177.2,18333.5,48097.4,130.2,52.8,7902.3,11981.8,1910,1144.2,,8763.6,3135,130.2,21425.5,,,,3135,2896.9,4697.9,12599.5,3401.9,10232.9,3135,43147.1,49879.7,21634.1,0,19755.2,26977.8,1878.9,3,93026.8,18,0,15,93026.8
South Wollo ZHD,Albuko WorHO,Ham 2014 to Sen 2015,240.7,1804.2,40062.2,12727,25.7,2.8,19009.6,1804.2,,56637.7,19065.3,50843.6,122.2,,7982.2,12103,56637.7,1155.8,6389.8,56637.7,3166.7,316.7,21425.5,,,,3166.7,2926,4745.3,12873.5,3475.8,10336.4,3166.7,47138.6,46828.6,21852.8,0,19954.9,110.8,1897.9,3,93967.2,18,0,15,382.1
Central Gondar ZHD,Alefa WorHO,Ham 2010 to Sen 2011,591.1,4477.2,98382.4,31247.9,70,13.8,46687.2,4431,,,47758,118677.3,378.5,,19593.4,29724.7,,2838.6,,,7638.9,76.2,,,,,7777.4,7177.3,11654.5,31247.9,8436.9,26346.1,7777.4,,,53670.2,199534.1,45083,66926.8,8587.2,3.7,230782,46.1,198472.5,42.4,230782
Central Gondar ZHD,Alefa WorHO,Ham 2011 to Sen 2012,601,0,99961,31756,0,14,47432,4502,,134501,48520,120570,385,,19917,30199,,2884,,,7901,790,,,,,7901,7301,11839,31756,8574,26767,7901,119575,114886,54526,202715,45083,67993.7,8587.2,3.7,234461,46.1,198472.5,42.4,234461
Central Gondar ZHD,Alefa WorHO,Ham 2012 to Sen 2013,599.1,4528.6,99728.7,31681.9,70.9,7.5,47321.5,4491.2,,,48407,120289.9,353.2,,19870.4,30128.5,7485.4,2886.6,,21470.2,7883,11,54399.4,,,,7883,7284.2,11811.5,31681.8,8554.1,44912.1,7883,,,54399.4,202244.9,45695.5,67836,8703.9,3.7,233917.3,46.1,202244.9,42.4,233917.3
Central Gondar ZHD,Alefa WorHO,Ham 2013 to Sen 2014,606.3,4592.2,100909.3,32060,58.2,7.6,47886.4,4544.8,1993.1,122426,50209.8,114509.9,331.4,163.9,20107.6,30488.2,4162.5,2911.5,,19098.4,7977.1,331.4,54399.4,,,,7977.1,7371.1,11953.8,32060,8656.2,26038.1,7977.1,115786.2,120923.5,55048.8,198836.1,47518.2,68645.8,7530.5,3,236709.7,37,0,34,236709.7
Central Gondar ZHD,Alefa WorHO,Ham 2014 to Sen 2015,613.6,4599.6,102135.5,32446.4,65.4,7.2,48463.5,4599.6,,144393.5,48407,129622,311.4,,20349.9,30855.6,144393.5,2946.6,16290.2,144393.5,8073.2,807.3,54399.4,,,,8073.2,7459.7,12097.9,32820,8861.4,26351.9,8073.2,120176.3,119386,55712.2,2082.2,48090.9,718.8,7621.3,3,239562.3,27,0,34,2478.8
South Wollo ZHD,Ambasel WorHO,Ham 2010 to Sen 2011,371,2810.5,61758.1,19615.4,43.9,8.7,29307.2,2781.5,,83106,29979.4,74497.9,237.6,,12299.5,18659.3,,1781.9,,,4795.2,47.8,,,,,4882.1,4505.5,7315.9,19615.4,5296.2,16538.4,4882.1,73884,70986,33690.7,125254.6,28300.2,42012.3,5390.5,1.2,144870,31.2,124588.2,29.9,144870
South Wollo ZHD,Ambasel WorHO,Ham 2011 to Sen 2012,377,4511,62749,19934,44.6,9,29774,2826,,84431,30457,75686,241,,12502,18957,,1810,,,4960,48.6,,,,,4960,4577.3,7432,19934,5382,16802,4960,75061,72118,34228,127251,28300.2,42681.9,5390.5,1.2,147179,31.1,124588.2,29.9,147179
South Wollo ZHD,Ambasel WorHO,Ham 2012 to Sen 2013,371.5,2807.9,61835.9,19644.1,44,4.6,29341.2,2784.7,,,30014.3,74584.6,219,,12320.5,18680.9,4641.2,1789.8,,13312.4,4887.8,6.8,33729.8,,,,4887.8,4516.5,7323.6,19644,5303.9,27847.4,4887.8,,,33729.8,125400.1,28333.1,42061.1,5396.8,1.2,145038.3,31.2,125400.1,29.9,145038.3
South Wollo ZHD,Ambasel WorHO,Ham 2013 to Sen 2014,375,2840.6,62420.2,19831.5,36,4.7,29621.4,2811.3,1232.9,91665.5,27727.1,76598.3,205,78.5,12438.1,18859.3,3116.6,1801,,14299.8,4934.5,205,33729.8,,,,4934.5,4559.6,7394.4,19831.5,5354.5,16106.5,4934.5,67464.7,78958.4,34051.9,0,31243.3,42462.7,2808.6,1,146423.1,25,0,24,146423.1
South Wollo ZHD,Ambasel WorHO,Ham 2014 to Sen 2015,378.7,2839.3,63046.8,20028.7,40.4,4.4,29915.8,2839.3,,89132.1,30014.3,80013.8,192.2,,12561.7,19046.7,89132.1,1818.9,10055.7,89132.1,4983.5,498.4,33729.8,,,,4983.5,4604.8,7467.9,20259.3,5470,16266.6,4983.5,74183.2,73695.3,34390.3,0,31553.8,274.5,2836.5,1,147878.5,25,0,24,946.5
Amhara Regional Health Bureau,Amhara Regional Health Bureau,Ham 2010 to Sen 2011,55945.9,423766,9311930.5,2957624.7,6625.2,1310.6,4418962.1,419397.3,168652,,4520316.5,,35823.5,15965,1854522.4,2813456.8,,268676.4,,,723023.5,7214.1,,,184617,,736129.6,679336.2,1103102.3,2957624.7,798558.7,2493666.4,736129.6,,,5079909.1,,4267123.6,6334646.6,812785.5,531,,3967,,3436,
Amhara Regional Health Bureau,Amhara Regional Health Bureau,Ham 2011 to Sen 2012,56839,680184,9461596,3005764,6731,1332,4489544,426096,,,4592532,,36396,,1885171,2858395,,268676.4,,,747888,7329.3,,,,,747888,690187,1120593,3005764,811556,2533552,747888,,,5161048,,4267123.6,6435827.3,812785.5,531,,3967,,3436,
Amhara Regional Health Bureau,Amhara Regional Health Bureau,Ham 2012 to Sen 2013,57721.8,436316.3,9608466.4,3052421.9,6835.5,721.2,4559234.8,432710.4,,,4663821.2,,31551.8,,1914434.5,2902765.4,721184,278109.8,,2068565.1,759496.9,1063.3,1048232.5,,,,759496.9,701802.1,1137987.4,3052411.1,824151,2118477.9,759496.9,,,5241162.5,,4402576.5,6535729.6,838586,536,,3961,,3425,
Amhara Regional Health Bureau,Amhara Regional Health Bureau,Ham 2013 to Sen 2014,58592.6,443813.8,9752464.7,3098460.7,5628,732.1,4628016.9,439238.4,192624.3,13788860.3,5060866.4,12378249.6,32027.8,13032.4,1943316.2,2946557.5,468821.2,281387.1,,2151062.2,770954.9,32027.8,5241162.5,,,,770954.9,712389.7,1155288.5,3098460.7,836584.4,2516469.9,770954.9,11476236.9,11400762.1,5320232.3,1428114.2,4213721.4,6634329.7,1106510.9,554,22876999,3966,552816,3412,22876999
Amhara Regional Health Bureau,Amhara Regional Health Bureau,Ham 2014 to Sen 2015,60807.7,455844.2,10122161.8,3215612,6480.8,712.3,4802982.9,455844.2,,14310159.5,4663821.2,12846219.6,30864.4,,2016784.9,3057954.5,14310159.5,292025.2,1614448,14310159.5,800101.5,80010.1,5241162.5,,,,800101.5,739293.7,1198965.1,3252638,878212.2,2611607.1,800101.5,11910105.6,11831777.4,5521368.1,1482105.2,4373024.6,6885146,1148343.5,554,23741882.9,3966,573715.7,3412,23741882.9
South Gondar ZHD,Andabet,Ham 2010 to Sen 2011,378.3,2865.5,62967.9,19999.7,44.8,8.9,29881.3,2836,,84734,30566.7,75957.4,242.2,,12540.4,19024.8,,1816.8,,,4889.1,48.8,,,,,4977.8,4593.7,7459.3,19999.7,5399.9,16862.3,4977.8,75331,72376,34350.7,127708.3,28854.6,42835.3,5496.1,2.5,147708,32.4,127028.9,29.9,147708
South Gondar ZHD,Andabet,Ham 2011 to Sen 2012,384,4599,63978,20325,45.5,9,30358,2881,,86085,31054,77168,246,,12747,19328,,1846,,,5057,49.6,,,,,5057,4667,7577,20325,5488,17132,5057,76532,73531,34898,129744.5,28854.6,43518.3,5496.1,2.5,150063,32.4,127028.9,29.9,150063
South Gondar ZHD,Andabet,Ham 2012 to Sen 2013,375.2,2836.4,62462.4,19843.1,44.4,4.7,29638.5,2812.9,,,30318.4,75340.3,205.1,,12445.3,18870.2,4688.2,1807.9,,13447.3,4937.3,6.9,34071.6,,,,4937.3,4562.3,7397.8,19843,5357.6,28129.5,4937.3,,,34071.6,126670.6,28620.1,42487.2,5451.5,2.5,146507.8,32.4,126670.6,29.9,146507.8
South Gondar ZHD,Andabet,Ham 2013 to Sen 2014,378.1,2864.2,62939.3,19996.5,36.3,4.7,29867.8,2834.7,1243.1,86650.8,28039.4,78126.1,206.7,87.5,12541.6,19016.2,2946.1,1816,,13517.5,4975.5,206.7,34071.6,,,,4975.5,4597.5,7455.9,19996.5,5399.1,16240.5,4975.5,72535.8,75105.1,34335.1,124018.4,32924,42815.9,1411.1,2,147640.9,26,0,24,147640.9
South Gondar ZHD,Andabet,Ham 2014 to Sen 2015,381.3,2858.3,63469.9,20163.1,40.6,4.5,30116.6,2858.3,,89730.3,30318.4,80550.8,193.5,,12646,19174.6,89730.3,1831.1,10123.2,89730.3,5017,501.7,34071.6,,,,5017,4635.7,7518,20395.3,5506.7,16375.8,5017,74681,74189.9,34621.1,807,33198.3,278.6,1422.9,2,148870.9,26,0,24,960.8
East Gojjam ZHD,Aneded WorHO,Ham 2010 to Sen 2011,282,2136.3,46943.3,14910,33.4,6.6,22276.9,2114.3,,63170,22787.8,56627.1,180.6,,9349,14183.2,,1354.5,,,3644.9,36.4,,,,,3711,3424.7,5561,14910,4025.7,12571.1,3711,56160,53958,25608.8,95208,21511.4,31934.2,4097.4,3.7,110118,27.4,94701.5,23.7,110118
East Gojjam ZHD,Aneded WorHO,Ham 2011 to Sen 2012,287,3429,47696,15152,33.9,7,22632,2148,,64177,23151,57530,183,,9503,14409,,1376,,,3770,36.9,,,,,3770,3479.3,5649,15152,4091,12772,3770,57056,54818,26017,96726.3,21511.4,32443.5,4097.4,3.7,111874,27.4,94701.5,23.7,111874
East Gojjam ZHD,Aneded WorHO,Ham 2012 to Sen 2013,279.5,2112.4,46518.2,14777.9,33.1,3.5,22073,2094.9,,,22579.3,56108.9,152.8,,9268.5,14053.4,3491.5,1346.4,,10014.7,3677,183.9,5074.9,,,,3677,3397.7,5509.4,14777.9,3990,10256.4,3677,,,25374.5,94336.7,21314.5,31642,4059.9,3.7,109110.2,27.4,94336.7,23.7,109110.2
East Gojjam ZHD,Aneded WorHO,Ham 2013 to Sen 2014,248,1878.4,41275.4,13113.6,23.8,3.1,19587.2,1859,815.2,55953,20899.8,50054.7,135.6,58.6,8224.7,12470.7,1902.4,1190.9,,8728.7,3262.9,135.6,25374.5,,,,3262.9,3015.1,4889.5,13113.6,3540.7,10650.5,3262.9,49589.9,47232.6,22516.9,0,21587.2,28078.5,929.7,3,96822.5,22,0,19,96822.5
East Gojjam ZHD,Aneded WorHO,Ham 2014 to Sen 2015,250,1874.5,41623.7,13223,26.7,2.9,19750.5,1874.5,,58845.3,22579.3,52825.4,126.9,,8293.3,12574.7,58845.3,1200.8,6638.8,58845.3,3290.1,329,25374.5,,,,3290.1,3040.1,4930.3,13375.3,3611.3,10739.3,3290.1,7251.5,48653.9,22704.6,0,21767.2,119.8,937.4,3,97629.8,22,0,19,413.2
North Shewa ZHD,Angolala Tera WorHO,Ham 2010 to Sen 2011,255.1,1932,42454,13484.1,30.2,6,20146.5,1912.1,,57129,20608.5,51211.7,163.3,,8454.9,12826.8,,1224.9,,,3296.3,32.9,,,,,3356.1,3097.2,5029.1,13484.1,3640.7,11368.9,3356.1,50789,48798,23159.8,86103,19454.2,28880.2,3705.6,2.5,99587.1,26.2,85644.9,23.7,99587.1
North Shewa ZHD,Angolala Tera WorHO,Ham 2011 to Sen 2012,259,3101,43135,13703,31,6,20468,1943,,58040,20937,52028,166,,8594,13031,,1244,,,3410,341,,,,,3410,3150,5109,13703,3700,11550,3410,51599,49576,23529,87475.9,19454.2,29340.8,3705.6,2.5,101175,26.2,85644.9,23.7,101175
North Shewa ZHD,Angolala Tera WorHO,Ham 2012 to Sen 2013,258.5,1953.8,43025.9,13668.5,30.6,3.2,20415.9,1937.6,,,20884.2,51896.6,152.4,,8572.7,12998.3,3229.4,1245.4,,9262.9,3401,4.8,23469.5,,,,3401,3142.6,5095.8,13668.4,3690.5,19376.4,3401,,,23469.5,87254.3,19714.4,29266.4,3755.1,2.5,100918.7,26.2,87254.3,23.7,100918.7
North Shewa ZHD,Angolala Tera WorHO,Ham 2013 to Sen 2014,191.3,1449,31841.2,10116.3,18.4,2.4,15110.2,1434.1,628.9,43307.2,14454.4,38020.8,104.6,45,6344.8,9620.3,1472.4,918.7,,6755.9,2517.1,104.6,23469.5,,,,2517.1,2325.9,3771.9,10116.3,2731.4,8216.1,2517.1,36112.5,38579.5,17370.2,0,16601.4,21660.7,768.9,2,74692,21,0,19,74692
North Shewa ZHD,Angolala Tera WorHO,Ham 2014 to Sen 2015,192.9,1446.2,32113.6,10201.8,20.6,2.3,15237.9,1446.2,,45400.4,20884.2,40755.9,97.9,,6398.5,9701.7,45400.4,926.5,5122,45400.4,2538.4,253.8,23469.5,,,,2538.4,2345.5,3803.8,10319.3,2786.2,8285.6,2538.4,37786,37537.5,17517.1,0,16741.7,71.3,775.4,2,75323.5,21,0,19,245.9
North Wollo ZHD,Angot WorHO,Ham 2010 to Sen 2011,156.3,1183.7,26009.8,8261.2,18.5,3.7,12342.9,1171.4,,,12626,31375.3,100.1,,5180,7858.5,,750.5,,,2019.5,20.2,,,,,2056.1,1897.5,3081.2,8261.2,2230.5,6965.2,2056.1,49625,47679,14189.1,52751.8,11918.8,17693.8,2270.3,1.2,61013,16.2,52471.2,15,61013
North Wollo ZHD,Angot WorHO,Ham 2011 to Sen 2012,111,0,18544,5891,0,3,8799,835,,24952,9001,22367,71,,3695,5602,,535,,,1466,147,,,,,1466,1354,2196,5891,1591,4966,1466,50417,21313,10115,37606.6,11918.8,12613.8,2270.3,1.2,43496,16.2,52471.2,15,43496
North Wollo ZHD,Angot WorHO,Ham 2012 to Sen 2013,111.6,843.7,18580.5,5902.7,13.2,1.4,8816.5,836.8,,,9018.7,22411.3,61,,3702.1,5613.3,1394.6,537.8,,4000.1,1468.7,2.1,2027,,,,1468.7,1357.1,2200.6,5902.7,1593.7,4096.6,1468.7,,,10135.2,37680.4,8513.6,12638.6,1621.6,1.2,43581.3,16.2,37680.4,15,43581.3
North Wollo ZHD,Angot WorHO,Ham 2013 to Sen 2014,112.3,850.5,18689.1,5937.7,10.8,1.4,8868.9,841.7,369.1,28274,8639,23077.2,61.4,22.3,3724.1,5646.6,961.3,539.2,,4410.7,1477.4,61.4,10135.2,,,,1477.4,1365.2,2213.9,5937.7,1603.2,4822.4,1477.4,21851.5,21988.7,10195.4,0,10195.4,12713.7,0,1,43840.2,13,0,12,43840.2
North Wollo ZHD,Angot WorHO,Ham 2014 to Sen 2015,113,847.4,18816.8,5977.7,12,1.3,8928.6,847.4,,26602.1,9018.7,23880.7,57.4,,3749.1,5684.6,26602.1,542.9,3001.2,26602.1,1487.4,148.7,10135.2,,,,1487.4,1374.3,2228.8,6046.5,1632.6,4854.9,1487.4,22140.5,21994.9,10264,0,10264,24.5,0,1,44135.4,13,0,12,84.6
Awi ZHD,Ankasha Guagusa,Ham 2010 to Sen 2011,271.4,2055.9,45177,14349,32.1,6.4,21438.7,2034.7,,,21930.4,54496.4,173.8,,8997.2,13649.5,,1303.5,,,3507.8,35,,,,,3571.3,3295.8,5351.7,14349,3874.2,12098.1,3571.3,123338,118501,24645.3,91625.6,20702,30732.6,3943.2,2.5,105974.6,22.4,91138.2,19.9,105974.6
Awi ZHD,Ankasha Guagusa,Ham 2011 to Sen 2012,282,0,46880,14893,33.4,7,22245,2111,,63079,22755,56545,180,,9341,14163,,1352,,,3706,36.3,,,,,3706,3419.7,5552,14893,4021,12553,3706,125304,53880,25572,95070.6,20702,31888.1,3943.2,2.5,109959,22.4,91138.2,19.9,109959
Awi ZHD,Ankasha Guagusa,Ham 2012 to Sen 2013,281.9,2130.9,46925.8,14907.4,33.4,3.5,22266.4,2113.3,,,22777.1,56600.5,166.2,,9349.7,14176.5,3522.1,1358.2,,10102.4,3709.2,185.5,5119.4,,,,3709.2,3427.5,5557.7,14907.4,4025,10346.2,3709.2,,,25596.8,95163.1,21501.3,31919.2,4095.5,2.5,110066.1,22.4,95163.1,19.9,110066.1
Awi ZHD,Ankasha Guagusa,Ham 2013 to Sen 2014,286.1,2167.4,47627,15131.6,27.5,3.6,22601.3,2145.1,940.7,64297.4,24264.2,59344.7,156.4,68,9490.4,14389.8,2186.1,1374.2,,10030.4,3765,156.4,25596.8,,,,3765,3479,5642,15131.6,4085.5,12289.4,3765,57573,54148.9,25981.8,0,20603.3,32399.3,5378.6,2,111721.8,18,0,16,111721.8
