hf_id,hf_name,hf_type,ownership,level,region,zone,woreda,phcu
sL6aUNAbWlc,Bezabih Medium Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
IxQ0bXcCqGy,Degera Health Center,Health Centers,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Degera PHCU
YpbPNtNykGV,Ambera Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Degera PHCU
h3loFPe9nj9,Degera Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Degera PHCU
QsqyrUDsSdC,Degu Ferede Joiner Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
VgIWovib2Sc,Dessalnge Junior Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
vBRTnAheTB9,Dires Joiner Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
OpM6k8N3ngJ,Dr Getaye Medium Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Z8wHTKtFHcn,Dr Mulatu Medium Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
DDJWLThw2Ru,Dr Yohannes Medium Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
emLLkQYCbaY,Felege Ghion Medium Clinic ,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Gy0D4CyvInV,Ferew Joiner Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
CyJAHCOprPg,Fitun Medium Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
TD4ZZ63zGCS,Germa Junior  Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
iijeitrY46D,Ghion Medium Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
NjgXwUgpd59,Kidanemihiret Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
fyuSjUpVPZP,Lukas Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
XTqocxCeU1V,Misganaw Medium Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
kInduckjkhQ,Mulat Joiner Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
K1Nb4ADD6fL,Mullunesh Joiner Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
RZG4HqXUKYT,Mulusew Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
L4rqR0njLlz,Nibret Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
wB3FCRba5UB,Tadese Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
lMSZ8q57NeP,Tesfay Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
SfP01rlzTE2,Tsegaye Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
kCSdpERhrQc,Wunbiri Wundigi Health Center,Health Centers,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Wunbiri Wundigi PHCU
bffXJFqjRiF,Ambela Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Wunbiri Wundigi PHCU
Dr1t9V8E6hJ,Chaja Giwrgis Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Wunbiri Wundigi PHCU
X80UAI0isFI,Chaja Kibirta Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Wunbiri Wundigi PHCU
VgBMLs5oYgv,Chaja Mikael Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Wunbiri Wundigi PHCU
tIN4qnw3D7J,Gori Ena Zaga Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Wunbiri Wundigi PHCU
C4ykN51vnwq,Wunbiri Wundigi Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Wunbiri Wundigi PHCU
WkJ6VGGBzI1,Yeaysis Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
zwQ6dCKrmOv,Zemeda Mariam Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Zgept3tdEys,zemen Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
lGmwRx5Ixlg,Amanuel  Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Banja,
7qAEgeJhw3m,Berihun Medium Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Banja,
XrnmEyfrA7K,Dangia Health Center,Health Centers,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Dangia PHCU
jQLrEnXuesx,Akena Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Dangia PHCU
GE9y2f7YHw3,Asem Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Dangia PHCU
AWxKKac1Zxp,Dangia Kidanemihiret Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Dangia PHCU
AmqLhS65CBJ,Janguta Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Dangia PHCU
DRJrMPPuDrq,Quachquach Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Dangia PHCU
mNmAU2pJ7SP,Dinkara Health Center,Health Centers,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Dinkara PHCU
ZU2VuAtYMf7,Bari Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Dinkara PHCU
XdwrsYInUsb,Senkesa Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Dinkara PHCU
XbYwIf3fb6I,Zik Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Dinkara PHCU
kcFaT3nm0Uq,Kessa Health Center,Health Centers,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Kessa PHCU
x3nSH25dGwR,Chaity Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Kessa PHCU
zuWS7JF2vwq,Chewsa Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Kessa PHCU
gwOGp2cIXUO,Wusla Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Kessa PHCU
cBJOxdNAqaG,Kidamaja Health Center,Health Centers,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Kidamaja PHCU
DnQ6kCo3aTn,Askuna Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Kidamaja PHCU
SVM4L51Q27l,Zufari Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Kidamaja PHCU
bcaFGxs7nS3,Kidusan  Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Banja,
RCHjryiDSyk,Lideta Health Center,Health Centers,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Lideta PHCU
PZsm9dIAjQx,Asera Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Lideta PHCU
SYOkCERBvrV,Gembeha Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Lideta PHCU
UD1iQDsDNRm,Lideta Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Lideta PHCU
AKJdzdKZB04,Shibabaw Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Banja,
PPblQxV3z6b,Surta Health Center,Health Centers,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Surta PHCU
vllUNMgU7Cz,Ateta Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Surta PHCU
pA1HEiToxTL,Gagasta Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Surta PHCU
wiUZPnWueoE,Gurja Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Surta PHCU
FHuhH9sk6Tj,Surta Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Banja,Surta PHCU
f6eIWKGQg5p,Chagni Primary Hospital,Hospitals,Public,4,Amhara Regional Health Bureau,Awi ZHD,Chagni Primary Hospital,
I0mT91oZj4e,Agumas Medium Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Chagni Town,
nU3V3UX9FEV,Chagni DIC ,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Chagni Town,
NOMDPysllTb,Chagni Health Center,Health Centers,Public,6,Amhara Regional Health Bureau,Awi ZHD,Chagni Town,Chagni PHCU
oJv2NQeEKOw,Lunce Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Chagni Town,Chagni PHCU
kovdxcqnmwD,Docter Seid Medium Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Chagni Town,
ABTZ4J1LzdX,Doctor Esa Medium Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Chagni Town,
kA52fu8RKPf,Doctor Mulugeta Specialty Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Chagni Town,
HTZg2WaKm4Y,Hayat Specialty Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Chagni Town,
PJzjf42mzbS,Mistir Medium Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Chagni Town,
RDo2PVdSxyf,Mohamed Medium Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Chagni Town,
NfKrSEb23mj,Tilahun Medium Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Chagni Town,
LaJzDSyISmN,Dangla Primary Hospital,Hospitals,Public,4,Amhara Regional Health Bureau,Awi ZHD,Dangla Primary Hospital,
B8NNHwC8X9X,Dangila Health center,Health Centers,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,Dangila PHCU
JxiERqJF3Qi,Bacha Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,Dangila PHCU
PAAJOkcNEt0,Girargie Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,Dangila PHCU
rDFzX2JbO81,Zelesa Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,Dangila PHCU
dJfJQWB60gU,Ziguda Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,Dangila PHCU
pghKbPx6szz,Zubra Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,Dangila PHCU
OGMcBoaYBS6,Dibandadi Medium Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,
IWddeep29yF,Dr Amare Medium clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,
xZM7gFHYbsA,Dr endris Medium Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,
ncyJR7aY17X,Nurhusen Medium Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,
Xt0FKmJxD9q,Prison Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,
AuwznRphkZL,Tadese Medium clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,
rvuWiRHLLOE,Yalew Medium Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Town,
HXUXakaUSxE,Abadra Health Center,Health Centers,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Abadra PHCU
LQcwhByn5jh,Abadra Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Abadra PHCU
h2zSP0raYyp,Agaga Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Abadra PHCU
VEOxDA5dktc,Manguda Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Abadra PHCU
Eyav1OgRK0X,Wondefay Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Abadra PHCU
nWNWQvwpYbX,Wufta Dati Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Abadra PHCU
Vu9G43qAThT,Abraham Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
PXUwpZAGZbR,Afessa Health Center,Health Centers,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Afessa PHCU
I0kutcx3KD6,Afessa Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Afessa PHCU
DBhRlRbtKjo,Ligaba Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Afessa PHCU
BOafzyecaEn,Muksi Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Afessa PHCU
E65sAzY4hry,Wumbri Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Afessa PHCU
agm7Ei9uBwD,Zunga Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Afessa PHCU
QAA8AijQLen,Agegnehu Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
lhslxNwAevD,Agumasie Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
wYCVkn2e23U,Alganesh Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
dZJrWkdwZuy,Awoke Primary Clninc,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
oKXsYduXIJS,Chara Health Center,Health Centers,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Chara PHCU
ABL3nBvDekU,Badani Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Chara PHCU
IVWoRQMxIqy,Dubi Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Chara PHCU
vLTEHeBiOPh,Jibana Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Chara PHCU
gTjfbLHOQuW,Kuancha Kuakurita Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Chara PHCU
bZQ4dcsMynj,Maylibach Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Chara PHCU
U8soZr5TNkz,Degsew primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
c8LBfBabXAW,Gashaw Medium Clinc,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
YNNTyvNIakZ,Gezahegn primary clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
Gm7UV6x1xq0,Gissa Health Center,Health Centers,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gissa PHCU
cZEjRvUlOgl,Debaka Singury Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gissa PHCU
jSHErY8rTF3,Gissa Balegziabeher Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gissa PHCU
jez2N7zl9Ad,Zurzur Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gissa PHCU
YhgNWpbipKY,Gizat  Bante Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
G9q3Poa1Mdw,Gumdri Health Center,Health Centers,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gumdri PHCU
Gs568XLxgn9,Demsa Timim Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gumdri PHCU
CU4HUe6lIBx,Dengeshita Warkit Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gumdri PHCU
MwOhegSdLtI,Gayta Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gumdri PHCU
Iz6lh1X6mYL,Gult Abishikan Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gumdri PHCU
XDtQyQdpOgg,Gumdri Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gumdri PHCU
Q2Z6NG5OSiF,Kuandisha Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gumdri PHCU
RBj4cx4DI4P,Misrak Zelesa Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gumdri PHCU
xb1bPRIxjaY,Washa Kabilta Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Gumdri PHCU
vcu6rERZsBA,Kachana Gudi Health Center,Health Centers,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Kachana Gudi PHCU
YBiEqmxNVZu,Alefa Kacha Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Kachana Gudi PHCU
I4Fw7TQBoJD,Gissa Mariam Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Kachana Gudi PHCU
ODI7WOtDR7O,Kansen Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,Kachana Gudi PHCU
jIgRZ3KLtrb,Melikamu Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
NMaUueYsBDT,Mengistu Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
Oi2lT8wqpS4,Samuel Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
O4rhIoaCfmZ,Tilahun Demke Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
Xw9q4hQgfff,Tilahun primary clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
t91Dh8qXhjO,Wasie primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
CUvtMnxoPdM,Worku Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
jEs7GQ4TcQE,Yekita Medium Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Dangla Zuria,
